date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
25/05/2026,콘스탄틴어베인2018,"급처
휠 마빅 알류
드롭바 데다 
안장 피직
크랭크 페달 순정
스템 모르겠음
싯포 순정",8,19,934,65000,36.8,사람,판매중,10,서울시 도봉구 창동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-2018-b8xkp36q3xyh/
29/09/2025,콘스탄틴어베인픽시자전거-실버,"콘스탄틴 어베인 픽시 자전거 판매합니다
- 튼튼하고 가벼운 프레임으로 제작되어 안정적인 라이딩을 제공합니다
- 디자인이 세련되고 멋있습니다
- 하자는 생활하자 조금있고, 뒷 바퀴 휠은 카본 60림입니다. 브레이크는 없어서 참고해주세요",2,2,112,70000,37.2,꼬꼬맘,판매완료,3,대구 북구 구암동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-%ED%94%BD%EC%8B%9C-%EC%9E%90%EC%A0%84%EA%B1%B0-%EC%8B%A4%EB%B2%84-car5251exu6x/
03/11/2025,콘스탄틴어베인2016,콘스탄틴 어베인2016년식입니다 도까쪼금있지만 잘나갑니다 막타기좋습니다 세척하고 드릴게요 쿨거시 네고ㄱㄴ,3,1,222,70000,36.2,똑똑한병아리,판매완료,6,강원 삼척시 정상동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4%EC%96%B4%EB%B2%A0%EC%9D%B82016-o4h4c38ejux1/
07/12/2025,콘스탄틴어베인픽시자전거,"콘스탄틴 어베인 픽시 자전거입니다
- 색상은 노란색입니다
- 핸들 바 테이프가 손상되었습니다(사진 참고)
- 프레임에 생활 스크래치가 있습니다
빨리 팔고 싶어서 싸게 올립니다",2,3,115,80000,36.8,아이오우,판매완료,6,경기 포천시 신읍동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-%ED%94%BD%EC%8B%9C-%EC%9E%90%EC%A0%84%EA%B1%B0-y3nrv96hpznq/
08/05/2026,콘스탄틴어베인(네고가능),"콘스탄틴 어베인 픽시 프레임 옐로우 색상입니다
사진에 보이는 크랭크셋과 페달 포함입니다
깔끔한 디자인으로 어떤 조합에도 잘 어울려요
픽시 입문용으로도 좋은 프레임입니다",1,4,158,81000,36.6,김세훜,판매중,1,서울시 서초구 서초4동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-%EB%84%A4%EA%B3%A0-%EA%B0%80%EB%8A%A5-o45xpqx1pk33/
08/01/2026,콘스탄틴어베인16년식,"콘스탄틴 어베인 픽시 자전거입니다

생활 스크래치는 좀 많이 있습니다.
안탄지 1년 좀 넘었고 바퀴에 바람이 없는 상태입니다
집에 스트랩도 있어서 사시면 같이 드려요

얼름 가져가세요",1,4,374,85000,37.5,지후,판매완료,5,경기 화성시 병점구 반월동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-16%EB%85%84%EC%8B%9D-qnx9h9tf6sxf/
21/05/2026,콘스탄틴어베인,"하자 사진 기재 어느정도 네고 가능
편하게 문의 주세요",12,33,809,90000,37.9,FreedomDive,판매중,4,대구 남구 대명9동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-o2h9t6y4mqeb/
17/04/2026,콘스탄틴어베인18년식픽시급처,"콘스탄틴 어베인 픽시 급처합니다.
찍히거나 도색 벗겨진 부분이 여러군데 있으나 주행에 지장은 없습니다.
상태는 사진으로 자세히 찍어두었으니 참고하시기 바랍니다.

사이즈는 51로 보입니다. (프레임 실측사진 참고)

대차x",3,7,273,100000,44.5,쿨쿨,판매완료,7,경기 화성시 병점구 반월동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-18%EB%85%84%EC%8B%9D-%ED%94%BD%EC%8B%9C-%EA%B8%89%EC%B2%98-z457dhvdk4u4/
07/01/2026,콘스탄틴어베인픽시형광자전거,"콘스탄틴 어베인 픽시 자전거입니다
색상은 형광색입니다
생활 스크래치는 조금 있습니다.
포크가 에콜로직스꺼여서 싸게 팝니다
환불어렵습니다",2,14,233,100000,37.3,허준서,판매완료,8,서울시 강남구 개포2동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-%ED%94%BD%EC%8B%9C-%ED%98%95%EA%B4%91-%EC%9E%90%EC%A0%84%EA%B1%B0-rad1qz8rdbso/
07/09/2024,콘스탄틴어베인2015판매,"콘스탄틴 어베인 2015년식 판매합니다.
연식은 오래되었지만 실제로 주행한 횟수는 20회 안쪽입니다. 학생 때 구매했는데 나이가 드니 픽시는 버거워서 판매하려고 합니다.
잔기스도 좀 있습니다. 아파트 공용 거치대에 주차해놨더니 기스도 나고 녹도 좀 슬었네요. 사진에는 없지만 안장 쪽에 파인 곳도 하나 있을거에요. (안장 사진 추가하였습니다.)
타게 되신다면 안전을 위해 정비도 받아보시길 권장드립니다. 주행 횟수가 적어서 큰 하자는 없을 겁니다.

가지고 있는 부속품도 원하신다면 함께 드리겠습니다.
- 구입할 때 받은 드롭바 (저는 라이저바가 더 좋았습니다.)
- 따로 구매한 안장 커버, 전조등, 자물쇠 등

픽시 입문하시는 분들이 가볍게 타보시기에 적합한 차입니다. 많은 관심 부탁드립니다.",1,3,254,100000,41.1,국물소갈비찜,판매완료,7,경기 성남시 분당구 금곡동,https://www.daangn.com/kr/buy-sell/%EC%BD%98%EC%8A%A4%ED%83%84%ED%8B%B4-%EC%96%B4%EB%B2%A0%EC%9D%B8-2015-%ED%8C%90%EB%A7%A4-yr1eps5p9wb7/
