date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
2026-05-19,메디큐브부스터프로미니화이트,"메디큐브 부스터프로 미니 화이트 색상입니다
구성품은 본체, 충전 케이블, 사용 설명서가 있어요
사진에서 보이는 것처럼 깔끔한 상태입니다
피부 관리에 관심 있는 분들께 추천드려요
집에서 5회 미만 사용 했어요~
소독용 알콜스왑 같이 드릴게요!
반택 2000원 추가가능",1,18,127,50000,58.4,주토피아112,판매중,3,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EB%B6%80%EC%8A%A4%ED%84%B0%ED%94%84%EB%A1%9C-%EB%AF%B8%EB%8B%88-%ED%99%94%EC%9D%B4%ED%8A%B8-rujwx9orprbs/
2026-05-16,메디큐브에이지알부스터프로핑크,"메디큐브 에이지알 부스터 프로 핑크 색상이에요
미개봉 새상품으로 교환 환불안됩니다.",1,8,70,170000,39.0,파마머리,판매중,2,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%ED%95%91%ED%81%AC-xagi2pfvcx7t/
2026-04-25,메디큐브age-r부스터프로마이멜로디에디션,"메디큐브 AGE-R 부스터 프로 마이멜로디 에디션 풀박스 구성이에요
마이멜로디 캐릭터 디자인으로 소장가치도 높아요
본체, 충전기, 설명서, 파우치, 스티커 등 구성품 모두 있어요
피부 탄력 관리에 도움을 주는 제품이에요
귀여운 마이멜로디 에디션으로 홈케어 즐겨보세요

아예 새것입니다
득템해가세용!",1,7,46,220000,63.1,초이,판매중,7,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-age-r-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%EB%A7%88%EC%9D%B4%EB%A9%9C%EB%A1%9C%EB%94%94-%EC%97%90%EB%94%94%EC%85%98-6e5hr6s8mcgh/
2026-05-05,메디큐브에이지알부스터프로미니꾸미기키트,"메디큐브 에이지알 부스터 프로 미니 꾸미기 키트예요

박스 개봉만 한 새상품 입니당",0,0,34,3000,45.1,당근방긋,판매중,3,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%EB%AF%B8%EB%8B%88-%EA%BE%B8%EB%AF%B8%EA%B8%B0-%ED%82%A4%ED%8A%B8-52rrug4w52xd/
2026-05-20,메디큐브올트라튠40.68화이트,"메디큐브 올트라 튠 40.68 화이트 제품이에요
피부 탄력 관리에 도움을 주는 제품이에요
총 사용횟수 3번입니다
작년에 구매해서 부스터프로만 사용하고 울트라튠은 안써서 내놓습니다.
박스는 구매하고 다 버려서 본품만 있어
저렴히 내놓습니다

메디큐브 홈페이지에서 구매했던 내역 첨부합니다",7,5,75,50000,37.8,제리제리고,판매완료,9,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%98%AC%ED%8A%B8%EB%9D%BC-%ED%8A%A0-40-68-%ED%99%94%EC%9D%B4%ED%8A%B8-a26jv22kcsbp/
2026-05-31,(미개봉풀박스)메디큐브에이지알부스터프로x2핑크,"메디큐브 에이지알 부스터 프로 X2 핑크 새상품이에요
피부 탄력과 리프팅에 도움을 주는 뷰티 디바이스입니다
미개봉 풀박스 그대로
개당 28만원(총 2개 판매) 개별 구매 가능",1,3,45,280000,38.3,doubles84,판매완료,2,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%ED%92%80%EB%B0%95%EC%8A%A4-%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-x2-%ED%95%91%ED%81%AC-d9i25rjhuw9w/
2026-05-31,메디큐브부스터프로미니,"몇번 사용안했고 상태좋아요!
반택 1800",1,7,47,25000,38.1,뇽안,판매완료,3,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%EB%AF%B8%EB%8B%88-afdvmypw7erp/
2026-05-21,메디큐브에이지알부스터프로블랙,"메디큐브 에이지알 부스터 프로ㅇ에요..
선뮬받았는데 손이잘안가넹요..
부지런한뷴들ㄴ이 가져가세오
거의 새거에요..",1,9,69,100000,41.4,모드니,판매완료,1,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-4f58rta11jey/
2026-04-18,메디큐브에이지알부스터프로블랙,"메디큐브 에이지알 부스터 프로 블랙 판매합니다.
구성품은 본체 설명서 박스 모두 있습니다.  남편한테 선물받고 한달 정도 사용하다가 보관만 해 둔 상품입니다~
헤드부분이나 몸체 모두 거의 새상품 수준입니다.두번째 사진 윈도우부분은 사진 상 반사되서 좀 이상해보이는데, 실물은 깨끗해요.",3,10,135,130000,37.3,커피조아,판매완료,4,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-xgfko669nkej/
2026-03-17,🎀(상태최상)메디큐브에이지알부스터프로블랙풀박스🎀,"메디큐브 에이지알 부스터 프로 블랙 색상 풀박스입니다
- 집에서 간편하게 피부 관리를 할 수 있습니다
- 피부 속 콜라겐, 탄력, 광채, 모공, 피부결 개선에 도움을 줍니다
- 5가지 핵심 기술이 담겨 있습니다
- 풀박스 구성으로 매뉴얼과 케이블이 포함되어 있습니다

부속품은 새상품, 본품은 5회미만사용
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ 
상세컷 원하시면 채팅주세요😊
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

▪️거래장소: 송도(직거래가능)
▪️택배거래가능: 택배비 착불
▪️육아중이라 비대면 문고리 거래 희망
▪️반품 불가",4,18,273,159000,56.4,신다리,판매완료,3,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EC%83%81%ED%83%9C%EC%B5%9C%EC%83%81-%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%EB%B8%94%EB%9E%99-%ED%92%80%EB%B0%95%EC%8A%A4-ee7mq7jq77h8/
2026-03-09,메디큐브에이지알부스터프로팝니다,"메디큐브 에이지알 부스터 프로 팝니다.
풀박스 풀구성품이고요.
몇번 사용안해서 새것같습니다.
상태 정말 좋아요.

직거래 위치는
평일에는 연세대 국제캠 앞 (송도),
주말에는 미금역 (분당)에서 가능합니다.

연락주세요~",1,3,58,120000,44.6,꼼수쟁이,판매완료,4,인천 연수구 송도동,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EC%97%90%EC%9D%B4%EC%A7%80%EC%95%8C-%EB%B6%80%EC%8A%A4%ED%84%B0-%ED%94%84%EB%A1%9C-%ED%8C%9D%EB%8B%88%EB%8B%A4-j3fic8283r89/
