date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
12/05/2026,포켓몬30주년띠부씰전룡,"포켓몬 30주년 기념 전룡 띠부씰이에요
직접 가지러 오셔야합니다",1,3,64,1000,40.1,당버근니,판매중,2,대구 달서구 송현동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EC%A0%84%EB%A3%A1-y9gqep2nw9uv/
14/05/2026,포켓몬30주년띠부씰딱구리,"포켓몬 딱구리 띠부씰 판매해요
직접 가지러 오셔야합니다~",2,1,43,1000,40.1,당버근니,판매완료,1,대구 달서구 송현동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EB%94%B1%EA%B5%AC%EB%A6%AC-nynvwngcjzwg/
22/05/2026,포켓몬30주년띠부씰아보크,"포켓몬 30주년 띠부씰 아보크 미개봉 상품입니다
직접 가지러 오셔야해요
우편함거래 가능해요",0,1,43,1000,40.1,당버근니,판매완료,2,대구 달서구 송현동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EC%95%84%EB%B3%B4%ED%81%AC-rz49uyx9tmui/
14/05/2026,포켓몬30주년띠부씰주뱃,"포켓몬스터 30주년 주뱃 띠부씰이에요
직접 가지러 오셔야합니다~",0,1,30,1000,40.1,당버근니,판매완료,1,대구 달서구 송현동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EC%A3%BC%EB%B1%83-1berosfq7twq/
09/05/2026,포켓몬30주년띠부씰우츠동,"30주년 포켓몬 띠부씰 우츠동 입니다
직접 가지러 오셔야해요",1,1,24,1000,40.1,당버근니,판매완료,1,대구 달서구 송현동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EC%9A%B0%EC%B8%A0%EB%8F%99-dbruag2n3ef1/
08/05/2026,"포켓몬30주년띠부씰빠모,피카츄,히스이가디","포켓몬 30주년 기념 띠부씰 3종 세트예요
빠모(2500),피카츄(2500), 히스이 가디(1000)
겉면만 뜯은 새상품입니다.
(잠만보,메타몽하고 교환 가능합니다.)

직거래만합니다.",0,2,191,1000,40.9,심심,판매중,1,충북 충주시 대소원면,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EB%B9%A0%EB%AA%A8-%ED%94%BC%EC%B9%B4%EC%B8%84-%ED%9E%88%EC%8A%A4%EC%9D%B4-%EA%B0%80%EB%94%94-v46tgxur6pqn/
19/04/2026,포켓몬30주년띠부씰에브이,"포켓몬 30주년 기념 띠부씰
에브이만 2개라 ㅠ 개봉만한 완전 흠집 1도 없는 깨끗한 씰이구요! 다른 30주년 아이와 교환 받아요!!!",3,3,80,1000,53.1,옴뇸뇸,판매완료,1,경기 수원시 영통구 매탄동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EC%97%90%EB%B8%8C%EC%9D%B4-251z92h2nbpw/
13/05/2026,포켓몬30주년띠부씰페르시온,"포켓몬스터 30주년 기념 띠부씰 페르시온이에요
사진 속 페르시온 캐릭터를 확인해주세요
소장 가치가 높은 띠부씰이랍니다",1,1,31,1000,37.4,지평선,판매완료,1,광주 광산구 월계동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%ED%8E%98%EB%A5%B4%EC%8B%9C%EC%98%A8-8htajz8vn5ck/
30/05/2026,"포켓몬30주년띠부씰미개봉(단대기,구구,골덕)","포켓몬 30주년 기념 띠부씰 3종 미개봉

개당 1,000원

광교센트럴뷰아파트 문고리거래 희망합니다",1,0,43,1000,47.3,루피,판매완료,1,경기 수원시 영통구 이의동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EB%AF%B8%EA%B0%9C%EB%B4%89-%EB%8B%A8%EB%8C%80%EA%B8%B0-%EA%B5%AC%EA%B5%AC-%EA%B3%A8%EB%8D%95-hzf2yf5i7rx4/
17/05/2026,"포켓몬30주년띠부씰(샤미드,알통몬)","30주년 포켓몬 띠부씰입니다

샤미드 1,000
알통몬 1,000

광교센트럴뷰아파트 문고리거래입니다",2,3,93,1000,47.3,루피,판매완료,1,경기 수원시 영통구 이의동,https://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93%EB%AA%AC-30%EC%A3%BC%EB%85%84-%EB%9D%A0%EB%B6%80%EC%94%B0-%EC%83%A4%EB%AF%B8%EB%93%9C-%EC%95%8C%ED%86%B5%EB%AA%AC-jh4ixko7nz84/
