date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
2025-11-16,스탠리퀜처h2.0플로우스테이트텀블러887ml로즈쿼츠,"미개봉 새상품입니다~
색상은 로즈쿼츠 있어요!

구매하실 분 연락주세요.

직거래만가능
북가좌동 직거래 가능
교환 및 환불x",0,4,163,39000,37.5,야아웅,판매중,2,서울시 서대문구 북가좌제2동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-h2-0-%ED%94%8C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8-%ED%85%80%EB%B8%94%EB%9F%AC-887ml-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-hprgad9tdxbf/
2026-02-26,스탠리퀜처텀블러887ml로즈쿼츠,"스탠리 퀜처 텀블러 로즈쿼츠 색상입니다!
선물받았지만, 커피도 물도 많이 안 마시는 저에겐 정말 큰 사이즈라....저 대신 필요하신 분이 사용하시는 게 나을 것 같습니다~

세척 후 물 마시는 용도로 한 두번 사용했습니다!
정품이고, 카카오톡 선물받기로 구매한 제품입니다

- 887ml 용량으로 넉넉하게 사용 가능하구요
- 뛰어난 보온/보냉 기능으로 음료를 오랫동안 시원하거나 따뜻하게 유지해 줍니다
- 손잡이가 있어서 휴대하기 편리합니다

(박스는 버렸고, 본품만 있습니다:))",8,31,366,30000,37.5,캐럿요정,판매완료,2,충남 천안시 서북구 부성1동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-%ED%85%80%EB%B8%94%EB%9F%AC-887ml-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-i2afarfu7msu/
2025-08-24,"스탠리텀블러새상품(887ml,로즈쿼츠)","스탠리 퀜처 텀블러 새상품입니다.
887ml, 로즈쿼츠 2.0 색상

색상 확인하기위해 잠깐 꺼냈고
유산지에 싸인 그대로 박스까지 있어요~",3,27,600,40000,44.7,소나무,판매완료,3,경기 수원시 장안구 정자동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%85%80%EB%B8%94%EB%9F%AC-%EC%83%88%EC%83%81%ED%92%88-887ml-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-uctjm76hdd4r/
2025-01-05,스탠리퀜처로즈쿼츠591m텀블러(새상품),"▪️정가: 39,000원
▪️인터넷 최저가: 36,270원

이미 가지고 있는 텀블러를 선물받아 저렴한 가격에 올립니다. 사진에서 보시듯 박스와 종이백 다 있어요.

자이 렉스비아 직거래나 문고리거래 가능하고, 배송비 지불하시면 택배거래도 가능합니다!",1,3,139,29000,41.7,미니멀라이프,판매완료,4,경기 수원시 장안구 정자동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-591m-%ED%85%80%EB%B8%94%EB%9F%AC-%EC%83%88%EC%83%81%ED%92%88-r89334sq36vj/
2026-01-20,스탠리퀜처h2.0텀블러591ml로즈쿼츠,"스탠리 퀜처 H2.0 플로우스테이트 텀블러, 로즈쿼츠 색상 591ml 새상품입니다

색깔예뻐용 선물용 하세요",2,5,98,30000,36.7,친절한국인,판매중,3,대전 유성구 전민동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-h2-0-%ED%85%80%EB%B8%94%EB%9F%AC-591ml-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-7iu7i3h2uwt3/
2026-03-31,"스탠리퀜처h2.0플로우스테이트텀블러,로즈쿼츠2.0,1.18l,1개","스탠리 퀜처 H2.0 플로우스테이트 텀블러, 로즈쿼츠 2.0, 1.18L, 1개

미사용 새제품입니다.

✨ 택배 원하실 시엔
반값 택배 + 3,000원
일반 택배 + 5,000원

✨개인 간 거래이므로 교환/환불 어렵습니다.",2,6,54,38000,47.2,자두자두졸려,판매완료,6,대전 유성구 전민동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-h2-0-%ED%94%8C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8-%ED%85%80%EB%B8%94%EB%9F%AC-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-2-0-1-18l-1%EA%B0%9C-g2or8hird8mc/
2024-07-25,스탠리텀블러퀜처1.18l(로즈쿼츠)새상품,"스탠리 퀜처 플로우 스테이트 텀블러, 로즈쿼츠 1.18L
미개봉 새상품입니다.
",2,6,389,45000,39.8,이노,판매완료,3,대구 달성군 화원읍,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%85%80%EB%B8%94%EB%9F%AC-%ED%80%9C%EC%B2%98-1-18l-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-%EC%83%88%EC%83%81%ED%92%88-ji32boz8cvje/
2025-09-16,"스탠리퀜처텀블러스트랩백1.18l,로즈쿼츠(텀블러미포함,스트랩백줄만판매입니다!!)","스탠리 퀜처 1.18L 텀블러용 캐리올 스트랩 백입니다
색상은 로즈쿼츠이고, 새 상품이에요

텀블러 미포함!!!!!! 입니다
스트랩 백 (텀블러 줄, 텀블러 가방)만 입니다! 

평일은 월화수목금 9:00 ~ 18:00
인계동 중앙병원쪽 직거래 가능 합니다

평일 19:00이후 가능 및 주말은 당수동 LH1단지 가능 합니다.",0,6,469,32000,38.5,탱구리탱구당,판매중,4,경기 수원시 권선구 권선1동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-%ED%85%80%EB%B8%94%EB%9F%AC-%EC%8A%A4%ED%8A%B8%EB%9E%A9%EB%B0%B1-1-18l-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-%ED%85%80%EB%B8%94%EB%9F%AC%EB%AF%B8%ED%8F%AC%ED%95%A8-%EC%8A%A4%ED%8A%B8%EB%9E%A9%EB%B0%B1-%EC%A4%84%EB%A7%8C-%ED%8C%90%EB%A7%A4-%EC%9E%85%EB%8B%88%EB%8B%A4-qg9ujjif3dv9/
2025-06-02,스탠리퀜처887ml로즈쿼츠(새제품),"- 미사용 새제품
- 박스 미포함
- 택배 거래 시, +4000",5,4,185,25000,53.2,젤라마,판매완료,6,경기 수원시 권선구 권선1동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-887ml-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-%EC%83%88%EC%A0%9C%ED%92%88-bonwzh2on8m3/
2025-12-25,새상품)스탠리퀜처프로투어플립스트로텀블러887ml-로즈쿼츠,"선물 받았는데 원래 쓰던게 있어서 팔아요!
텀블러 안에 설명서까지 들어있는 완전 새상품 이구요
색상은 로즈쿼츠, 887ml 입니다!",2,17,272,40000,37.7,춘식이,판매중,5,인천 연수구 옥련2동,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-%ED%94%84%EB%A1%9C%ED%88%AC%EC%96%B4-%ED%94%8C%EB%A6%BD%EC%8A%A4%ED%8A%B8%EB%A1%9C-%ED%85%80%EB%B8%94%EB%9F%AC-887ml-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-epnn6t2fsxt6/
2026-06-04,[새상품]스탠리퀜처h2.0텀블러로즈쿼츠887ml,"새상품입니다
1개 3만
2개 59천

스탠리 퀜처 H2.0 텀블러 로즈쿼츠 색상이에요
887ml 용량으로 넉넉하게 사용할 수 있어요
냉온 40시간 유지되는 보온보냉 기능이 뛰어나요
매일 사용하기 좋은 텀블러를 찾으시는 분들께 추천드려요",0,9,79,30000,38.0,써니맘,판매중,2,서울시 강동구 둔촌동,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%8A%A4%ED%83%A0%EB%A6%AC-%ED%80%9C%EC%B2%98-h2-0-%ED%85%80%EB%B8%94%EB%9F%AC-%EB%A1%9C%EC%A6%88%EC%BF%BC%EC%B8%A0-887ml-u5yaxk2k81g4/
