date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
30/05/2026,스토케트립트랩뉴본,"의자에 편안함을 더해주는 스토케 트립트랩 뉴본 
푹신한 쿠션감으로 안정감을 느끼며 편안하게 앉아있을 수 있어요
위생적으로 사용 가능해요
사용하기 좋아 선물용으로도 좋아요",0,0,68,15000,42.6,모모,판매중,2,경기 안산시 단원구 와동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-jsw1d1ty3j6j/
28/05/2025,스토케트립트랩뉴본세트양면커버,"스토케 트립트랩 뉴본세트 마카롱 양면커버입니다
아기가 뉴본에 잘 눕지않아 판매합니다

몇번 사용안하여 새것같고 세탁 후 보관중입니다
연락주세요",0,1,361,20000,45.5,햇살킴,판매완료,4,경기 안산시 단원구 와동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8%EC%84%B8%ED%8A%B8-%EC%96%91%EB%A9%B4%EC%BB%A4%EB%B2%84-ruzig2nqk8ha/
10/04/2026,사가엔젤릭스토케트립트랩뉴본양면커버,"고급스러운 패턴과 부드러운 소재로 제작되어 아기에게 편안함을 선사해요
양면 사용이 가능하여 실용적이며, 세탁이 용이하여 위생적으로 사용할 수 있어요
깔끔한 디자인으로 어떤 인테리어에도 잘 어울린답니다

모유수유해서 아기 눕힐 일이 없었어요 
아기의 침이나 분유가 묻은 적도 없고 밥 먹을 때 옆에 잠깐씩 눕혀놓은게 다에요 

채팅주시면 실제 사진 보내드립니다

문고리거래 희망합니다",1,9,94,25000,38.5,김빙빙,판매완료,1,서울시 강남구 도곡2동,https://www.daangn.com/kr/buy-sell/%EC%82%AC%EA%B0%80-%EC%97%94%EC%A0%A4%EB%A6%AD-%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%96%91%EB%A9%B4-%EC%BB%A4%EB%B2%84-bo8o3hrpg9hj/
25/05/2026,스토케트립트랩뉴본하네스(그레이),스토케 트립트랩 뉴본하네스에요 잃어버린줄알고 새로구매했는데 찾아서 판매합니다,1,0,63,33000,45.9,솨직,판매완료,1,부산 동래구 사직동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%ED%95%98%EB%84%A4%EC%8A%A4-%EA%B7%B8%EB%A0%88%EC%9D%B4-5ci4sv1mzru8/
08/04/2025,스토케트립트랩뉴본,"밑에 고정시키는 부분 한쪽이 파손되었어요. 
한쪽이 없어도 전혀 불안함 없이 아기들 잘 누워 있었고 흔들림도 없었어요!
트립트랩 의자 위에서 끼우는 방식이라 흔들림이 없더라구요!

뉴본이 하나더 있는데 그거랑 비교해도 흔들리지 않아요. 
늘 머리부분에 손수건을 두고 써서 깨끗합니다.

세탁도 다 해놨어요!

트립트랩 있으신 분들 뉴본 꼭 사세요~~
이유식때문에 베이비세트로 바꿨눈데 앞으로 어디서 분유먹여야하나 걱정입니다ㅠㅠㅠ

모빌대, 연장글라이더 없어요. 

육아중이라 비대면 문고리거래 원해요. 
약속 안지키시는 분들이 있어 입금 후 주소 알려드릴게요.
깨끗하게 사용했지만 중고이다보니 사용감 있습니다!",3,3,899,40000,63.1,아리,판매완료,4,부산 기장군 정관읍,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-h5p13vj2omme/
13/02/2026,스토케트립트랩뉴본(재당근),"스토케 트립트랩 뉴본 (재당근)

뉴본 + 연장글라이더

아이가 좋아하지 않아서 많이 사용하지 못했어요 처음 당근할때부터 모빌대는 없었습니다 전체적으로 깨끗하게 사용했고 커버에는 보풀 없습니다 본체랑 글라이더는 소독티슈로 닦아 두었고 커버는 세탁 후 보관해 두었습니다!!

💕문고리 거래 입니다
- 선입금 후 주소 알려드려요! 
- 중고인 만큼 신중히 생각 해 보시고 구매 의사 있는 분들만 채팅주세요
- 환불,교환 불가❌
- 네고는 답변 ❌
- 예민한 분들은 피해주세여🙅‍♀️",4,3,117,40000,47.3,요미송,판매완료,6,서울시 동대문구 휘경제1동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-k2cqpj3wdnej/
24/04/2025,스토케트립트랩뉴본세트,"제가 원하는 시기에 처분하고 싶어서 가격 내립니다
하자없고 깨끗한 제품이에요 쿨거래 하실분만~

스토케 트립트랩 뉴본 세트입니다
모빌대 O 글라이더 X 리버서블 커버 포함
글라이더 없이 사용했는데 문제 없었어요

*   트립트랩 호환 액세서리
*   신생아부터 사용 가능
*   분리형 커버(화이트/ 블랙 리버서블)",1,8,245,50000,39.3,살림살2,판매완료,5,서울시 서초구 서초동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-5g5jikfxb3pr/
18/01/2026,"스토케트립트랩뉴본세트(구형,모빌대없음)","스토케 트립트랩에 장착하여 신생아부터 사용할 수 있는 뉴본 세트(구형)입니다. 

색상은 베이지색이며, 생활 스크래치 및 밑부분 천 헤짐들이 양쪽 조금 있습니다(사진 참고)
하지만 사용하는데는 전혀 문제없으며 주기적으로 세탁하여 깨끗하게 사용했습니다. 

사용하시면 아시겠지만 잠깐 그냥 눕혀놓는 용도라 각도조절기능 크게 필요 없어요. 어차피 신생아들은 허리 약해서 역방쿠나 뉴본세트처럼 경사진곳에 오래 눕혀두면 안됩니다. 편평한 바닥에 눕히셔야해요.

👶🏻구형 저렴하게 가져가세요. 

- 구형이라 각도조절은 안됩니다.
- 모빌대 없습니다.

✅ 중고거래에 대한 이해도가 높으신분만 거래합니다. 
✅ 구매 후 반품, 교환 문의 받지 않습니다.
✅ 비대면 문고리 거래 합니다.
✅ 선입금 후, 상세주소 알려드립니다.
✅ 🥕페이 합니다.",1,5,446,50000,43.1,보리언니,판매완료,5,경기 성남시 분당구 야탑3동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EA%B5%AC%ED%98%95-%EB%AA%A8%EB%B9%8C%EB%8C%80%EC%97%86%EC%9D%8C-62dtmxna19ne/
30/12/2025,스토케트립트랩뉴본세트(모빌없음),"스토케 트립트랩 뉴본 세트입니다~ 
아기가 편안하게 사용할 수 있도록 디자인되었고, 안전벨트도 포함되어 있습니다  

재당근이구 사진처럼 사용감있어요! 
저희아기는 이제 무거워져서 내놓아요~ 
모빌없슴당~~ 첨당근할때부터 모빌없었지만 저는 사용하는데 아무불편없었어요 ㅎ

비대면거래할게요!",2,6,77,50000,40.8,동동,판매완료,2,경북 경산시 하양읍,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EB%AA%A8%EB%B9%8C%EC%97%86%EC%9D%8C-vh8ccx1zaxq4/
16/12/2025,스토케트립트랩뉴본,"재당근입니다~

두번째 사진 보시면 밴드가 좀 헐렁해졌더라구요~
헐거워 졌다는 거 친구네집 놀러가서 보고 알았어요~
사용하는데 별 지장이 없었거든요~

모빌 거치대는 없습니다 

✔️ 육아중으로 문고리 거래 희망합니다

- 자세한 주소는 입금 확인 후 알려드립니다 
- 중고제품입니다. 교환 & 환불은 불가하오니 
   구매 신중하게해주세요😊",4,7,427,50000,43,기니,판매완료,2,경기 남양주시 별내동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-j21cckbsc2c2/
